type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,5.0,5.0,16,134.0,0
isi,6.0,6.0,16,134.0,1
isi,9.0,9.0,2,17.0,2
isi,7.0,7.0,2,17.0,3
dur,5.0,5.0,8,67.0,4
dur,4.0,4.0,16,134.0,5
dur,4.0,4.0,32,267.0,6
dur,4.0,4.0,2,17.0,7
dur,6.0,6.0,0,0.0,8
dur,3.0,3.0,4,33.0,9
isi,7.0,7.0,16,134.0,10
isi,5.0,5.0,4,33.0,11
dur,3.0,3.0,64,533.0,12
dur,10.0,10.0,8,67.0,13
dur,4.0,4.0,2,17.0,14
isi,3.0,3.0,64,533.0,15
dur,6.0,6.0,4,33.0,16
isi,5.0,5.0,2,17.0,17
dur,8.0,8.0,0,0.0,18
dur,12.0,12.0,8,67.0,19
dur,9.0,9.0,64,533.0,20
isi,3.0,3.0,4,33.0,21
isi,4.0,4.0,8,67.0,22
isi,3.0,3.0,64,533.0,23
isi,3.0,3.0,8,67.0,24
isi,7.0,7.0,4,33.0,25
isi,8.0,8.0,64,533.0,26
dur,13.0,13.0,2,17.0,27
dur,6.0,6.0,32,267.0,28
dur,3.0,3.0,16,134.0,29
dur,5.0,5.0,16,134.0,30
dur,4.0,4.0,64,533.0,31
isi,3.0,3.0,32,267.0,32
isi,3.0,3.0,8,67.0,33
isi,14.0,14.0,32,267.0,34
dur,4.0,4.0,32,267.0,35
isi,11.0,11.0,32,267.0,36
dur,10.0,10.0,0,0.0,37
dur,8.0,8.0,4,33.0,38
