type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.0,3.0,4,33.0,0
dur,4.0,4.0,4,33.0,1
isi,13.0,13.0,2,17.0,2
isi,9.0,9.0,32,267.0,3
isi,10.0,10.0,16,134.0,4
isi,11.0,11.0,2,17.0,5
dur,5.0,5.0,16,134.0,6
dur,7.0,7.0,32,267.0,7
isi,6.0,6.0,8,67.0,8
dur,4.0,4.0,0,0.0,9
dur,8.0,8.0,4,33.0,10
isi,5.0,5.0,64,533.0,11
dur,8.0,8.0,32,267.0,12
dur,5.0,5.0,0,0.0,13
dur,3.0,3.0,64,533.0,14
dur,3.0,3.0,64,533.0,15
isi,6.0,6.0,16,134.0,16
isi,7.0,7.0,32,267.0,17
isi,6.0,6.0,4,33.0,18
dur,4.0,4.0,2,17.0,19
dur,4.0,4.0,32,267.0,20
isi,4.0,4.0,8,67.0,21
dur,5.0,5.0,2,17.0,22
isi,6.0,6.0,32,267.0,23
dur,4.0,4.0,16,134.0,24
dur,10.0,10.0,2,17.0,25
dur,7.0,7.0,8,67.0,26
dur,3.0,3.0,8,67.0,27
dur,3.0,3.0,16,134.0,28
isi,5.0,5.0,4,33.0,29
isi,3.0,3.0,64,533.0,30
dur,12.0,12.0,8,67.0,31
dur,8.0,8.0,4,33.0,32
isi,3.0,3.0,16,134.0,33
isi,14.0,14.0,64,533.0,34
isi,9.0,9.0,2,17.0,35
dur,3.0,3.0,64,533.0,36
isi,4.0,4.0,8,67.0,37
dur,3.0,3.0,0,0.0,38
