type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,14.0,14.0,8,67.0,0
dur,6.0,6.0,4,33.0,1
isi,7.0,7.0,16,134.0,2
dur,10.0,10.0,16,134.0,3
dur,4.0,4.0,8,67.0,4
dur,6.0,6.0,4,33.0,5
isi,3.0,3.0,32,267.0,6
dur,10.0,10.0,64,533.0,7
dur,8.0,8.0,16,134.0,8
dur,4.0,4.0,0,0.0,9
dur,5.0,5.0,16,134.0,10
isi,13.0,13.0,16,134.0,11
isi,3.0,3.0,4,33.0,12
isi,12.0,12.0,32,267.0,13
dur,5.0,5.0,2,17.0,14
isi,4.0,4.0,4,33.0,15
isi,8.0,8.0,64,533.0,16
dur,11.0,11.0,2,17.0,17
dur,6.0,6.0,64,533.0,18
isi,3.0,3.0,16,134.0,19
isi,6.0,6.0,64,533.0,20
isi,8.0,8.0,2,17.0,21
dur,4.0,4.0,8,67.0,22
isi,5.0,5.0,8,67.0,23
isi,3.0,3.0,8,67.0,24
isi,7.0,7.0,2,17.0,25
dur,3.0,3.0,2,17.0,26
isi,7.0,7.0,4,33.0,27
dur,9.0,9.0,32,267.0,28
dur,3.0,3.0,32,267.0,29
isi,3.0,3.0,64,533.0,30
dur,4.0,4.0,32,267.0,31
dur,5.0,5.0,64,533.0,32
isi,3.0,3.0,8,67.0,33
dur,5.0,5.0,4,33.0,34
isi,3.0,3.0,2,17.0,35
dur,4.0,4.0,0,0.0,36
dur,4.0,4.0,0,0.0,37
isi,9.0,9.0,32,267.0,38
