type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,8.0,8.0,2,17.0,0
dur,3.0,3.0,32,267.0,1
dur,4.0,4.0,0,0.0,2
isi,9.0,9.0,16,134.0,3
isi,3.0,3.0,4,33.0,4
isi,3.0,3.0,2,17.0,5
dur,10.0,10.0,64,533.0,6
isi,4.0,4.0,2,17.0,7
isi,4.0,4.0,32,267.0,8
dur,3.0,3.0,32,267.0,9
dur,10.0,10.0,8,67.0,10
isi,6.0,6.0,4,33.0,11
isi,12.0,12.0,16,134.0,12
dur,13.0,13.0,8,67.0,13
dur,8.0,8.0,2,17.0,14
dur,6.0,6.0,16,134.0,15
dur,3.0,3.0,2,17.0,16
dur,4.0,4.0,64,533.0,17
dur,5.0,5.0,0,0.0,18
isi,6.0,6.0,8,67.0,19
dur,6.0,6.0,4,33.0,20
dur,4.0,4.0,16,134.0,21
dur,3.0,3.0,32,267.0,22
dur,5.0,5.0,0,0.0,23
isi,8.0,8.0,64,533.0,24
dur,11.0,11.0,64,533.0,25
isi,4.0,4.0,32,267.0,26
isi,3.0,3.0,64,533.0,27
dur,3.0,3.0,16,134.0,28
isi,5.0,5.0,4,33.0,29
dur,5.0,5.0,4,33.0,30
isi,7.0,7.0,16,134.0,31
isi,3.0,3.0,32,267.0,32
isi,5.0,5.0,2,17.0,33
dur,7.0,7.0,8,67.0,34
isi,14.0,14.0,64,533.0,35
isi,7.0,7.0,8,67.0,36
isi,4.0,4.0,8,67.0,37
dur,9.0,9.0,4,33.0,38
