type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,5.28,4.0,32,267.0,0
dur,5.28,4.0,0,0.0,1
dur,5.28,4.0,8,67.0,2
isi,5.28,4.0,2,17.0,3
isi,5.28,4.0,2,17.0,4
dur,5.28,4.0,2,17.0,5
dur,5.28,4.0,0,0.0,6
dur,5.28,4.0,8,67.0,7
dur,5.28,4.0,4,33.0,8
dur,5.28,4.0,32,267.0,9
dur,5.28,4.0,0,0.0,10
isi,5.28,4.0,4,33.0,11
isi,5.28,4.0,32,267.0,12
dur,5.28,4.0,8,67.0,13
dur,5.28,4.0,2,17.0,14
dur,5.28,4.0,4,33.0,15
isi,5.28,4.0,4,33.0,16
dur,5.28,4.0,4,33.0,17
isi,5.28,4.0,8,67.0,18
isi,5.28,4.0,64,533.0,19
isi,5.28,4.0,2,17.0,20
isi,5.28,4.0,8,67.0,21
isi,5.28,4.0,4,33.0,22
dur,5.28,4.0,16,134.0,23
isi,5.28,4.0,32,267.0,24
isi,5.28,4.0,2,17.0,25
dur,5.28,4.0,32,267.0,26
dur,5.28,4.0,64,533.0,27
dur,5.28,4.0,16,134.0,28
isi,5.28,4.0,32,267.0,29
isi,5.28,4.0,4,33.0,30
dur,5.28,4.0,2,17.0,31
dur,5.28,4.0,32,267.0,32
isi,5.28,4.0,64,533.0,33
isi,5.28,4.0,16,134.0,34
dur,5.28,4.0,0,0.0,35
dur,5.28,4.0,8,67.0,36
isi,5.28,4.0,64,533.0,37
isi,5.28,4.0,64,533.0,38
dur,5.28,4.0,2,17.0,39
isi,5.28,4.0,16,134.0,40
dur,5.28,4.0,16,134.0,41
dur,5.28,4.0,64,533.0,42
dur,5.28,4.0,16,134.0,43
isi,5.28,4.0,32,267.0,44
isi,5.28,4.0,8,67.0,45
dur,5.28,4.0,64,533.0,46
dur,5.28,4.0,64,533.0,47
isi,5.28,4.0,16,134.0,48
dur,5.28,4.0,4,33.0,49
isi,5.28,4.0,16,134.0,50
isi,5.28,4.0,8,67.0,51
