type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,5.28,4.0,16,134.0,0
isi,5.28,4.0,16,134.0,1
dur,5.28,4.0,2,17.0,2
dur,5.28,4.0,64,533.0,3
isi,5.28,4.0,32,267.0,4
dur,5.28,4.0,2,17.0,5
isi,5.28,4.0,16,134.0,6
dur,5.28,4.0,4,33.0,7
dur,5.28,4.0,4,33.0,8
dur,5.28,4.0,32,267.0,9
isi,5.28,4.0,32,267.0,10
dur,5.28,4.0,0,0.0,11
dur,5.28,4.0,2,17.0,12
dur,5.28,4.0,32,267.0,13
isi,5.28,4.0,64,533.0,14
isi,5.28,4.0,8,67.0,15
dur,5.28,4.0,64,533.0,16
dur,5.28,4.0,0,0.0,17
isi,5.28,4.0,4,33.0,18
dur,5.28,4.0,64,533.0,19
isi,5.28,4.0,64,533.0,20
dur,5.28,4.0,16,134.0,21
dur,5.28,4.0,8,67.0,22
dur,5.28,4.0,16,134.0,23
isi,5.28,4.0,4,33.0,24
isi,5.28,4.0,16,134.0,25
isi,5.28,4.0,8,67.0,26
dur,5.28,4.0,4,33.0,27
dur,5.28,4.0,0,0.0,28
isi,5.28,4.0,64,533.0,29
isi,5.28,4.0,8,67.0,30
dur,5.28,4.0,8,67.0,31
isi,5.28,4.0,2,17.0,32
dur,5.28,4.0,16,134.0,33
dur,5.28,4.0,64,533.0,34
isi,5.28,4.0,32,267.0,35
dur,5.28,4.0,4,33.0,36
dur,5.28,4.0,32,267.0,37
isi,5.28,4.0,32,267.0,38
dur,5.28,4.0,8,67.0,39
isi,5.28,4.0,64,533.0,40
isi,5.28,4.0,16,134.0,41
isi,5.28,4.0,8,67.0,42
dur,5.28,4.0,2,17.0,43
dur,5.28,4.0,32,267.0,44
dur,5.28,4.0,0,0.0,45
isi,5.28,4.0,2,17.0,46
dur,5.28,4.0,8,67.0,47
isi,5.28,4.0,4,33.0,48
isi,5.28,4.0,4,33.0,49
isi,5.28,4.0,2,17.0,50
isi,5.28,4.0,2,17.0,51
