type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,7.92,6.0,32,267.0,26
dur,5.28,4.0,8,67.0,2
isi,6.6000000000000005,5.0,8,67.0,24
isi,6.6000000000000005,5.0,32,267.0,36
isi,6.6000000000000005,5.0,64,533.0,15
isi,17.16,13.0,2,17.0,12
isi,5.28,4.0,2,17.0,3
dur,5.28,4.0,64,533.0,5
dur,14.520000000000001,11.0,64,533.0,29
isi,9.24,7.0,16,134.0,28
isi,7.92,6.0,32,267.0,1
isi,3.96,3.0,64,533.0,13
isi,3.96,3.0,4,33.0,32
dur,6.6000000000000005,5.0,4,33.0,33
dur,9.24,7.0,16,134.0,9
dur,13.200000000000001,10.0,0,0.0,16
dur,5.28,4.0,16,134.0,8
dur,3.96,3.0,16,134.0,23
dur,7.92,6.0,4,33.0,19
dur,18.48,14.0,32,267.0,0
dur,3.96,3.0,2,17.0,11
isi,11.88,9.0,2,17.0,7
isi,3.96,3.0,8,67.0,30
dur,6.6000000000000005,5.0,0,0.0,25
isi,5.28,4.0,64,533.0,34
dur,9.24,7.0,0,0.0,14
isi,10.56,8.0,4,33.0,6
dur,10.56,8.0,32,267.0,20
dur,10.56,8.0,32,267.0,10
dur,3.96,3.0,8,67.0,17
isi,3.96,3.0,16,134.0,37
dur,5.28,4.0,2,17.0,21
isi,11.88,9.0,16,134.0,38
dur,7.92,6.0,8,67.0,4
dur,15.84,12.0,4,33.0,27
dur,3.96,3.0,2,17.0,18
dur,5.28,4.0,64,533.0,35
isi,3.96,3.0,4,33.0,22
isi,13.200000000000001,10.0,8,67.0,31
