type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,7.92,6.0,2,17.0,10
dur,11.88,9.0,8,67.0,20
dur,7.92,6.0,4,33.0,6
isi,11.88,9.0,16,134.0,36
dur,5.28,4.0,16,134.0,25
isi,6.6000000000000005,5.0,16,134.0,29
dur,5.28,4.0,2,17.0,4
dur,3.96,3.0,2,17.0,21
dur,3.96,3.0,0,0.0,22
isi,3.96,3.0,4,33.0,19
dur,3.96,3.0,0,0.0,1
dur,5.28,4.0,4,33.0,15
dur,10.56,8.0,64,533.0,38
dur,18.48,14.0,4,33.0,24
dur,17.16,13.0,2,17.0,28
isi,15.84,12.0,2,17.0,32
dur,9.24,7.0,32,267.0,14
dur,6.6000000000000005,5.0,32,267.0,2
isi,10.56,8.0,32,267.0,26
dur,6.6000000000000005,5.0,8,67.0,18
dur,5.28,4.0,32,267.0,37
isi,10.56,8.0,4,33.0,31
isi,3.96,3.0,2,17.0,35
dur,14.520000000000001,11.0,64,533.0,27
dur,6.6000000000000005,5.0,8,67.0,33
isi,3.96,3.0,64,533.0,30
isi,6.6000000000000005,5.0,32,267.0,7
isi,5.28,4.0,32,267.0,3
isi,13.200000000000001,10.0,8,67.0,23
dur,9.24,7.0,16,134.0,17
dur,9.24,7.0,16,134.0,16
isi,7.92,6.0,64,533.0,13
isi,7.92,6.0,4,33.0,34
isi,13.200000000000001,10.0,8,67.0,12
dur,3.96,3.0,64,533.0,0
dur,3.96,3.0,0,0.0,11
isi,5.28,4.0,8,67.0,5
isi,5.28,4.0,16,134.0,8
isi,3.96,3.0,64,533.0,9
