type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,10.56,8.0,64,533.0,0
dur,11.88,9.0,16,134.0,1
dur,3.96,3.0,2,17.0,2
dur,5.28,4.0,4,33.0,3
dur,6.6000000000000005,5.0,2,17.0,4
isi,3.96,3.0,32,267.0,5
dur,10.56,8.0,2,17.0,6
isi,3.96,3.0,64,533.0,7
isi,5.28,4.0,2,17.0,8
dur,6.6000000000000005,5.0,8,67.0,9
isi,5.28,4.0,32,267.0,10
dur,3.96,3.0,16,134.0,11
isi,7.92,6.0,64,533.0,12
dur,6.6000000000000005,5.0,64,533.0,13
isi,7.92,6.0,32,267.0,14
isi,13.200000000000001,10.0,4,33.0,15
dur,10.56,8.0,32,267.0,16
dur,5.28,4.0,64,533.0,17
dur,17.16,13.0,0,0.0,18
dur,11.88,9.0,16,134.0,19
dur,9.24,7.0,0,0.0,20
isi,6.6000000000000005,5.0,8,67.0,21
isi,6.6000000000000005,5.0,8,67.0,22
dur,3.96,3.0,8,67.0,23
isi,3.96,3.0,16,134.0,24
isi,5.28,4.0,64,533.0,25
isi,5.28,4.0,2,17.0,26
dur,3.96,3.0,32,267.0,27
isi,14.520000000000001,11.0,16,134.0,28
isi,3.96,3.0,4,33.0,29
isi,5.28,4.0,8,67.0,30
isi,3.96,3.0,2,17.0,31
dur,7.92,6.0,0,0.0,32
dur,13.200000000000001,10.0,4,33.0,33
dur,3.96,3.0,4,33.0,34
dur,9.24,7.0,8,67.0,35
isi,9.24,7.0,4,33.0,36
isi,15.84,12.0,16,134.0,37
dur,7.92,6.0,32,267.0,38
