type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,6.6000000000000005,5.0,32,267.0,0
dur,5.28,4.0,16,134.0,1
isi,3.96,3.0,4,33.0,2
isi,5.28,4.0,8,67.0,3
isi,11.88,9.0,2,17.0,4
isi,7.92,6.0,16,134.0,5
dur,3.96,3.0,4,33.0,6
isi,3.96,3.0,32,267.0,7
dur,5.28,4.0,64,533.0,8
isi,3.96,3.0,16,134.0,9
dur,5.28,4.0,2,17.0,10
isi,6.6000000000000005,5.0,4,33.0,11
dur,5.28,4.0,64,533.0,12
dur,6.6000000000000005,5.0,64,533.0,13
isi,3.96,3.0,64,533.0,14
isi,6.6000000000000005,5.0,32,267.0,15
isi,5.28,4.0,2,17.0,16
dur,7.92,6.0,4,33.0,17
dur,6.6000000000000005,5.0,0,0.0,18
dur,9.24,7.0,32,267.0,19
isi,7.92,6.0,64,533.0,20
isi,9.24,7.0,4,33.0,21
dur,13.200000000000001,10.0,16,134.0,22
isi,5.28,4.0,8,67.0,23
dur,3.96,3.0,8,67.0,24
dur,3.96,3.0,8,67.0,25
isi,3.96,3.0,8,67.0,26
dur,3.96,3.0,2,17.0,27
isi,10.56,8.0,32,267.0,28
dur,3.96,3.0,32,267.0,29
isi,3.96,3.0,2,17.0,30
isi,9.24,7.0,16,134.0,31
dur,3.96,3.0,4,33.0,32
dur,6.6000000000000005,5.0,16,134.0,33
dur,10.56,8.0,2,17.0,34
dur,5.28,4.0,0,0.0,35
dur,7.92,6.0,0,0.0,36
isi,3.96,3.0,64,533.0,37
dur,5.28,4.0,8,67.0,38
