type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,13.200000000000001,10.0,16,134.0,0
dur,3.96,3.0,32,267.0,1
dur,6.6000000000000005,5.0,8,67.0,2
dur,5.28,4.0,32,267.0,3
dur,3.96,3.0,64,533.0,4
dur,7.92,6.0,2,17.0,5
isi,6.6000000000000005,5.0,16,134.0,6
dur,7.92,6.0,4,33.0,7
dur,3.96,3.0,8,67.0,8
dur,9.24,7.0,2,17.0,9
isi,6.6000000000000005,5.0,16,134.0,10
isi,11.88,9.0,4,33.0,11
dur,9.24,7.0,16,134.0,12
dur,3.96,3.0,0,0.0,13
dur,10.56,8.0,0,0.0,14
dur,7.92,6.0,16,134.0,15
isi,3.96,3.0,32,267.0,16
dur,6.6000000000000005,5.0,0,0.0,17
isi,5.28,4.0,4,33.0,18
isi,5.28,4.0,2,17.0,19
isi,3.96,3.0,64,533.0,20
dur,9.24,7.0,2,17.0,21
dur,5.28,4.0,64,533.0,22
dur,5.28,4.0,4,33.0,23
dur,5.28,4.0,4,33.0,24
isi,5.28,4.0,32,267.0,25
isi,3.96,3.0,16,134.0,26
isi,3.96,3.0,64,533.0,27
isi,3.96,3.0,32,267.0,28
isi,3.96,3.0,8,67.0,29
dur,6.6000000000000005,5.0,64,533.0,30
isi,3.96,3.0,8,67.0,31
isi,10.56,8.0,2,17.0,32
dur,3.96,3.0,32,267.0,33
isi,3.96,3.0,8,67.0,34
isi,7.92,6.0,64,533.0,35
isi,5.28,4.0,2,17.0,36
dur,5.28,4.0,8,67.0,37
isi,6.6000000000000005,5.0,4,33.0,38
