type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,5.28,4.0,32,267.0,0
dur,5.28,4.0,64,533.0,1
isi,3.96,3.0,4,33.0,2
dur,6.6000000000000005,5.0,64,533.0,3
isi,11.88,9.0,32,267.0,4
isi,10.56,8.0,8,67.0,5
dur,3.96,3.0,0,0.0,6
dur,5.28,4.0,2,17.0,7
isi,3.96,3.0,16,134.0,8
dur,3.96,3.0,8,67.0,9
dur,6.6000000000000005,5.0,2,17.0,10
dur,3.96,3.0,4,33.0,11
isi,6.6000000000000005,5.0,8,67.0,12
dur,15.84,12.0,0,0.0,13
isi,7.92,6.0,16,134.0,14
dur,17.16,13.0,16,134.0,15
dur,18.48,14.0,4,33.0,16
dur,3.96,3.0,64,533.0,17
isi,3.96,3.0,8,67.0,18
dur,6.6000000000000005,5.0,16,134.0,19
isi,10.56,8.0,2,17.0,20
isi,14.520000000000001,11.0,64,533.0,21
isi,7.92,6.0,64,533.0,22
dur,9.24,7.0,0,0.0,23
isi,3.96,3.0,4,33.0,24
dur,5.28,4.0,8,67.0,25
isi,13.200000000000001,10.0,2,17.0,26
isi,13.200000000000001,10.0,64,533.0,27
dur,11.88,9.0,4,33.0,28
isi,5.28,4.0,4,33.0,29
isi,3.96,3.0,32,267.0,30
isi,7.92,6.0,32,267.0,31
dur,9.24,7.0,8,67.0,32
dur,5.28,4.0,32,267.0,33
dur,7.92,6.0,2,17.0,34
dur,6.6000000000000005,5.0,16,134.0,35
isi,10.56,8.0,2,17.0,36
dur,5.28,4.0,32,267.0,37
isi,9.24,7.0,16,134.0,38
