type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,32,267.0,0
dur,6.6000000000000005,5.0,64,533.0,1
dur,10.56,8.0,8,67.0,2
isi,7.92,6.0,8,67.0,3
dur,3.96,3.0,4,33.0,4
isi,6.6000000000000005,5.0,2,17.0,5
dur,11.88,9.0,32,267.0,6
dur,5.28,4.0,32,267.0,7
isi,5.28,4.0,64,533.0,8
dur,5.28,4.0,0,0.0,9
dur,15.84,12.0,2,17.0,10
isi,13.200000000000001,10.0,16,134.0,11
isi,7.92,6.0,4,33.0,12
dur,3.96,3.0,16,134.0,13
isi,3.96,3.0,8,67.0,14
isi,6.6000000000000005,5.0,32,267.0,15
dur,13.200000000000001,10.0,2,17.0,16
isi,7.92,6.0,2,17.0,17
dur,17.16,13.0,16,134.0,18
isi,5.28,4.0,32,267.0,19
dur,14.520000000000001,11.0,16,134.0,20
isi,6.6000000000000005,5.0,32,267.0,21
isi,3.96,3.0,64,533.0,22
dur,3.96,3.0,64,533.0,23
isi,3.96,3.0,16,134.0,24
dur,11.88,9.0,2,17.0,25
dur,9.24,7.0,0,0.0,26
dur,5.28,4.0,4,33.0,27
isi,5.28,4.0,4,33.0,28
dur,9.24,7.0,0,0.0,29
isi,6.6000000000000005,5.0,4,33.0,30
isi,10.56,8.0,2,17.0,31
dur,3.96,3.0,64,533.0,32
isi,5.28,4.0,64,533.0,33
dur,3.96,3.0,8,67.0,34
dur,18.48,14.0,8,67.0,35
isi,7.92,6.0,8,67.0,36
isi,9.24,7.0,16,134.0,37
dur,10.56,8.0,4,33.0,38
