type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.0,3.0,32,267.0,0
isi,3.0,3.0,8,67.0,1
isi,5.0,5.0,64,533.0,2
isi,4.0,4.0,2,17.0,3
isi,3.0,3.0,4,33.0,4
dur,7.0,7.0,64,533.0,5
dur,4.0,4.0,8,67.0,6
isi,4.0,4.0,16,134.0,7
isi,3.0,3.0,32,267.0,8
isi,4.0,4.0,64,533.0,9
isi,10.0,10.0,8,67.0,10
dur,11.0,11.0,16,134.0,11
isi,13.0,13.0,4,33.0,12
isi,5.0,5.0,16,134.0,13
dur,10.0,10.0,4,33.0,14
dur,6.0,6.0,64,533.0,15
dur,8.0,8.0,16,134.0,16
dur,9.0,9.0,4,33.0,17
isi,6.0,6.0,4,33.0,18
dur,5.0,5.0,8,67.0,19
dur,3.0,3.0,8,67.0,20
dur,5.0,5.0,2,17.0,21
isi,9.0,9.0,8,67.0,22
isi,3.0,3.0,2,17.0,23
dur,8.0,8.0,4,33.0,24
dur,3.0,3.0,32,267.0,25
isi,4.0,4.0,32,267.0,26
dur,7.0,7.0,2,17.0,27
dur,3.0,3.0,2,17.0,28
dur,5.0,5.0,64,533.0,29
isi,4.0,4.0,16,134.0,30
dur,6.0,6.0,0,0.0,31
dur,4.0,4.0,16,134.0,32
dur,7.0,7.0,32,267.0,33
dur,12.0,12.0,0,0.0,34
isi,3.0,3.0,64,533.0,35
isi,6.0,6.0,2,17.0,36
dur,14.0,14.0,0,0.0,37
dur,8.0,8.0,32,267.0,38
