type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.96,3.0,64,533.0,0
dur,3.96,3.0,2,17.0,1
dur,3.96,3.0,64,533.0,2
isi,3.96,3.0,64,533.0,3
isi,3.96,3.0,2,17.0,4
dur,3.96,3.0,4,33.0,5
dur,3.96,3.0,0,0.0,6
dur,3.96,3.0,32,267.0,7
isi,3.96,3.0,2,17.0,8
dur,3.96,3.0,64,533.0,9
isi,3.96,3.0,32,267.0,10
isi,3.96,3.0,8,67.0,11
isi,3.96,3.0,16,134.0,12
dur,3.96,3.0,32,267.0,13
isi,3.96,3.0,4,33.0,14
dur,3.96,3.0,64,533.0,15
isi,3.96,3.0,4,33.0,16
dur,3.96,3.0,16,134.0,17
dur,3.96,3.0,4,33.0,18
dur,3.96,3.0,64,533.0,19
dur,3.96,3.0,8,67.0,20
isi,3.96,3.0,8,67.0,21
dur,3.96,3.0,16,134.0,22
dur,3.96,3.0,32,267.0,23
isi,3.96,3.0,2,17.0,24
isi,3.96,3.0,4,33.0,25
dur,3.96,3.0,32,267.0,26
dur,3.96,3.0,8,67.0,27
isi,3.96,3.0,64,533.0,28
dur,3.96,3.0,8,67.0,29
dur,3.96,3.0,16,134.0,30
isi,3.96,3.0,4,33.0,31
isi,3.96,3.0,16,134.0,32
dur,3.96,3.0,16,134.0,33
dur,3.96,3.0,2,17.0,34
dur,3.96,3.0,2,17.0,35
isi,3.96,3.0,8,67.0,36
dur,3.96,3.0,4,33.0,37
isi,3.96,3.0,8,67.0,38
dur,3.96,3.0,4,33.0,39
isi,3.96,3.0,16,134.0,40
isi,3.96,3.0,32,267.0,41
dur,3.96,3.0,2,17.0,42
isi,3.96,3.0,16,134.0,43
dur,3.96,3.0,0,0.0,44
dur,3.96,3.0,0,0.0,45
isi,3.96,3.0,2,17.0,46
dur,3.96,3.0,0,0.0,47
dur,3.96,3.0,8,67.0,48
isi,3.96,3.0,32,267.0,49
isi,3.96,3.0,64,533.0,50
isi,3.96,3.0,32,267.0,51
