type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.96,3.0,2,17.0,0
isi,11.88,9.0,2,17.0,1
isi,3.96,3.0,64,533.0,2
isi,7.92,6.0,4,33.0,3
isi,5.28,4.0,16,134.0,4
isi,6.6000000000000005,5.0,2,17.0,5
isi,3.96,3.0,32,267.0,6
dur,5.28,4.0,16,134.0,7
dur,7.92,6.0,64,533.0,8
dur,5.28,4.0,32,267.0,9
dur,3.96,3.0,8,67.0,10
dur,13.200000000000001,10.0,32,267.0,11
dur,5.28,4.0,32,267.0,12
isi,7.92,6.0,4,33.0,13
dur,3.96,3.0,4,33.0,14
dur,5.28,4.0,0,0.0,15
dur,3.96,3.0,8,67.0,16
dur,10.56,8.0,64,533.0,17
dur,9.24,7.0,2,17.0,18
isi,6.6000000000000005,5.0,8,67.0,19
dur,3.96,3.0,2,17.0,20
dur,9.24,7.0,16,134.0,21
isi,15.84,12.0,16,134.0,22
isi,6.6000000000000005,5.0,64,533.0,23
dur,18.48,14.0,8,67.0,24
isi,11.88,9.0,8,67.0,25
isi,6.6000000000000005,5.0,4,33.0,26
dur,6.6000000000000005,5.0,64,533.0,27
dur,5.28,4.0,2,17.0,28
isi,10.56,8.0,16,134.0,29
isi,3.96,3.0,32,267.0,30
dur,13.200000000000001,10.0,4,33.0,31
dur,17.16,13.0,0,0.0,32
dur,9.24,7.0,0,0.0,33
dur,7.92,6.0,4,33.0,34
dur,10.56,8.0,16,134.0,35
isi,14.520000000000001,11.0,64,533.0,36
isi,3.96,3.0,32,267.0,37
isi,5.28,4.0,8,67.0,38
