type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,16,134.0,0
isi,5.28,4.0,2,17.0,1
isi,5.28,4.0,64,533.0,2
isi,10.56,8.0,64,533.0,3
dur,13.200000000000001,10.0,0,0.0,4
dur,3.96,3.0,64,533.0,5
isi,6.6000000000000005,5.0,4,33.0,6
isi,3.96,3.0,32,267.0,7
isi,14.520000000000001,11.0,8,67.0,8
isi,3.96,3.0,8,67.0,9
dur,11.88,9.0,4,33.0,10
isi,5.28,4.0,2,17.0,11
dur,5.28,4.0,64,533.0,12
dur,15.84,12.0,4,33.0,13
isi,7.92,6.0,2,17.0,14
dur,7.92,6.0,8,67.0,15
isi,5.28,4.0,4,33.0,16
dur,3.96,3.0,0,0.0,17
dur,5.28,4.0,2,17.0,18
isi,3.96,3.0,16,134.0,19
dur,3.96,3.0,32,267.0,20
dur,6.6000000000000005,5.0,2,17.0,21
isi,3.96,3.0,4,33.0,22
dur,7.92,6.0,4,33.0,23
dur,6.6000000000000005,5.0,8,67.0,24
isi,5.28,4.0,16,134.0,25
dur,3.96,3.0,16,134.0,26
isi,6.6000000000000005,5.0,32,267.0,27
isi,6.6000000000000005,5.0,8,67.0,28
dur,9.24,7.0,64,533.0,29
dur,5.28,4.0,32,267.0,30
isi,10.56,8.0,64,533.0,31
dur,7.92,6.0,32,267.0,32
dur,9.24,7.0,8,67.0,33
dur,9.24,7.0,2,17.0,34
isi,3.96,3.0,16,134.0,35
isi,11.88,9.0,32,267.0,36
dur,6.6000000000000005,5.0,16,134.0,37
dur,3.96,3.0,0,0.0,38
