type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.96,3.0,64,533.0,4
blank,3.96,3.0,0,0.0,55
blank,3.96,3.0,0,0.0,41
blank,3.96,3.0,0,0.0,49
dur,3.96,3.0,4,33.0,10
dur,3.96,3.0,4,33.0,29
dur,3.96,3.0,0,0.0,47
isi,3.96,3.0,4,33.0,56
isi,3.96,3.0,32,267.0,33
dur,3.96,3.0,16,134.0,34
blank,3.96,3.0,0,0.0,78
blank,3.96,3.0,0,0.0,32
blank,3.96,3.0,0,0.0,72
dur,3.96,3.0,16,134.0,25
dur,3.96,3.0,64,533.0,60
dur,3.96,3.0,16,134.0,0
isi,3.96,3.0,16,134.0,31
isi,3.96,3.0,8,67.0,26
dur,3.96,3.0,2,17.0,1
dur,3.96,3.0,0,0.0,39
isi,3.96,3.0,4,33.0,7
isi,3.96,3.0,8,67.0,24
blank,3.96,3.0,0,0.0,53
dur,3.96,3.0,4,33.0,8
dur,3.96,3.0,2,17.0,40
dur,3.96,3.0,8,67.0,61
dur,3.96,3.0,8,67.0,50
dur,3.96,3.0,16,134.0,66
isi,3.96,3.0,4,33.0,64
isi,3.96,3.0,16,134.0,37
isi,3.96,3.0,16,134.0,11
blank,3.96,3.0,0,0.0,45
blank,3.96,3.0,0,0.0,20
isi,3.96,3.0,4,33.0,75
isi,3.96,3.0,8,67.0,2
isi,3.96,3.0,64,533.0,52
dur,3.96,3.0,8,67.0,17
dur,3.96,3.0,2,17.0,5
blank,3.96,3.0,0,0.0,54
blank,3.96,3.0,0,0.0,6
isi,3.96,3.0,32,267.0,62
isi,3.96,3.0,32,267.0,43
dur,3.96,3.0,16,134.0,30
blank,3.96,3.0,0,0.0,73
isi,3.96,3.0,2,17.0,68
isi,3.96,3.0,2,17.0,71
isi,3.96,3.0,8,67.0,9
dur,3.96,3.0,0,0.0,65
isi,3.96,3.0,2,17.0,27
dur,3.96,3.0,32,267.0,14
isi,3.96,3.0,64,533.0,22
dur,3.96,3.0,64,533.0,44
blank,3.96,3.0,0,0.0,67
isi,3.96,3.0,4,33.0,70
isi,3.96,3.0,64,533.0,48
dur,3.96,3.0,2,17.0,35
blank,3.96,3.0,0,0.0,23
dur,3.96,3.0,32,267.0,69
isi,3.96,3.0,16,134.0,3
isi,3.96,3.0,64,533.0,42
dur,3.96,3.0,32,267.0,19
isi,3.96,3.0,32,267.0,63
dur,3.96,3.0,2,17.0,59
dur,3.96,3.0,32,267.0,57
isi,3.96,3.0,16,134.0,15
dur,3.96,3.0,64,533.0,51
dur,3.96,3.0,64,533.0,16
dur,3.96,3.0,4,33.0,46
dur,3.96,3.0,32,267.0,18
dur,3.96,3.0,0,0.0,74
dur,3.96,3.0,0,0.0,38
blank,3.96,3.0,0,0.0,36
dur,3.96,3.0,4,33.0,13
isi,3.96,3.0,32,267.0,12
dur,3.96,3.0,64,533.0,77
dur,3.96,3.0,8,67.0,28
blank,3.96,3.0,0,0.0,58
blank,3.96,3.0,0,0.0,76
isi,3.96,3.0,8,67.0,21
