type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,2,17.0,16
isi,3.96,3.0,4,33.0,58
blank,3.96,3.0,0,0.0,66
isi,3.96,3.0,8,67.0,51
dur,3.96,3.0,8,67.0,74
blank,3.96,3.0,0,0.0,50
blank,3.96,3.0,0,0.0,59
dur,3.96,3.0,0,0.0,42
dur,3.96,3.0,8,67.0,45
dur,3.96,3.0,2,17.0,73
blank,3.96,3.0,0,0.0,22
isi,3.96,3.0,8,67.0,71
isi,3.96,3.0,16,134.0,46
isi,3.96,3.0,16,134.0,65
dur,3.96,3.0,64,533.0,1
dur,3.96,3.0,32,267.0,3
dur,3.96,3.0,16,134.0,11
isi,3.96,3.0,4,33.0,39
dur,3.96,3.0,4,33.0,67
isi,3.96,3.0,4,33.0,44
isi,3.96,3.0,32,267.0,4
blank,3.96,3.0,0,0.0,52
dur,3.96,3.0,16,134.0,77
dur,3.96,3.0,0,0.0,17
isi,3.96,3.0,2,17.0,25
isi,3.96,3.0,16,134.0,54
blank,3.96,3.0,0,0.0,14
isi,3.96,3.0,16,134.0,28
dur,3.96,3.0,2,17.0,18
isi,3.96,3.0,16,134.0,34
isi,3.96,3.0,2,17.0,6
dur,3.96,3.0,0,0.0,33
dur,3.96,3.0,32,267.0,12
isi,3.96,3.0,64,533.0,0
dur,3.96,3.0,4,33.0,78
dur,3.96,3.0,4,33.0,56
dur,3.96,3.0,8,67.0,57
isi,3.96,3.0,2,17.0,36
blank,3.96,3.0,0,0.0,68
dur,3.96,3.0,32,267.0,19
isi,3.96,3.0,2,17.0,72
isi,3.96,3.0,8,67.0,69
dur,3.96,3.0,0,0.0,48
dur,3.96,3.0,8,67.0,49
dur,3.96,3.0,8,67.0,21
blank,3.96,3.0,0,0.0,2
isi,3.96,3.0,64,533.0,53
dur,3.96,3.0,64,533.0,10
dur,3.96,3.0,64,533.0,35
isi,3.96,3.0,2,17.0,37
blank,3.96,3.0,0,0.0,43
isi,3.96,3.0,64,533.0,9
blank,3.96,3.0,0,0.0,23
blank,3.96,3.0,0,0.0,31
isi,3.96,3.0,8,67.0,62
blank,3.96,3.0,0,0.0,32
dur,3.96,3.0,32,267.0,29
isi,3.96,3.0,4,33.0,26
blank,3.96,3.0,0,0.0,30
isi,3.96,3.0,32,267.0,27
isi,3.96,3.0,64,533.0,20
blank,3.96,3.0,0,0.0,24
dur,3.96,3.0,64,533.0,41
isi,3.96,3.0,32,267.0,61
isi,3.96,3.0,32,267.0,70
isi,3.96,3.0,8,67.0,38
dur,3.96,3.0,4,33.0,15
dur,3.96,3.0,32,267.0,75
blank,3.96,3.0,0,0.0,5
blank,3.96,3.0,0,0.0,7
dur,3.96,3.0,16,134.0,40
dur,3.96,3.0,2,17.0,55
dur,3.96,3.0,64,533.0,76
blank,3.96,3.0,0,0.0,13
dur,3.96,3.0,0,0.0,47
dur,3.96,3.0,16,134.0,8
isi,3.96,3.0,32,267.0,60
blank,3.96,3.0,0,0.0,64
isi,3.96,3.0,4,33.0,63
