type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.96,3.0,8,67.0,53
isi,3.96,3.0,64,533.0,56
blank,3.96,3.0,0,0.0,75
dur,3.96,3.0,64,533.0,55
dur,3.96,3.0,4,33.0,8
isi,3.96,3.0,2,17.0,5
blank,3.96,3.0,0,0.0,44
isi,3.96,3.0,16,134.0,78
isi,3.96,3.0,16,134.0,52
isi,3.96,3.0,32,267.0,58
isi,3.96,3.0,8,67.0,54
isi,3.96,3.0,2,17.0,32
blank,3.96,3.0,0,0.0,67
dur,3.96,3.0,4,33.0,77
isi,3.96,3.0,2,17.0,28
dur,3.96,3.0,8,67.0,9
dur,3.96,3.0,16,134.0,10
dur,3.96,3.0,8,67.0,20
dur,3.96,3.0,32,267.0,70
blank,3.96,3.0,0,0.0,62
isi,3.96,3.0,8,67.0,1
blank,3.96,3.0,0,0.0,35
dur,3.96,3.0,0,0.0,24
dur,3.96,3.0,0,0.0,64
dur,3.96,3.0,4,33.0,30
dur,3.96,3.0,2,17.0,7
isi,3.96,3.0,64,533.0,13
isi,3.96,3.0,32,267.0,60
dur,3.96,3.0,64,533.0,18
isi,3.96,3.0,32,267.0,76
isi,3.96,3.0,4,33.0,26
isi,3.96,3.0,64,533.0,51
dur,3.96,3.0,16,134.0,4
dur,3.96,3.0,0,0.0,57
dur,3.96,3.0,32,267.0,27
blank,3.96,3.0,0,0.0,19
blank,3.96,3.0,0,0.0,25
isi,3.96,3.0,64,533.0,15
blank,3.96,3.0,0,0.0,34
blank,3.96,3.0,0,0.0,39
isi,3.96,3.0,8,67.0,71
dur,3.96,3.0,8,67.0,17
blank,3.96,3.0,0,0.0,46
dur,3.96,3.0,4,33.0,61
isi,3.96,3.0,4,33.0,31
dur,3.96,3.0,64,533.0,37
blank,3.96,3.0,0,0.0,21
dur,3.96,3.0,64,533.0,23
dur,3.96,3.0,32,267.0,74
blank,3.96,3.0,0,0.0,73
dur,3.96,3.0,16,134.0,40
isi,3.96,3.0,64,533.0,72
isi,3.96,3.0,4,33.0,59
blank,3.96,3.0,0,0.0,12
dur,3.96,3.0,16,134.0,3
dur,3.96,3.0,8,67.0,45
isi,3.96,3.0,32,267.0,47
blank,3.96,3.0,0,0.0,36
dur,3.96,3.0,8,67.0,65
isi,3.96,3.0,4,33.0,49
isi,3.96,3.0,4,33.0,0
blank,3.96,3.0,0,0.0,42
isi,3.96,3.0,2,17.0,50
isi,3.96,3.0,16,134.0,43
isi,3.96,3.0,16,134.0,63
blank,3.96,3.0,0,0.0,41
dur,3.96,3.0,2,17.0,38
dur,3.96,3.0,16,134.0,48
dur,3.96,3.0,32,267.0,29
dur,3.96,3.0,2,17.0,16
dur,3.96,3.0,0,0.0,2
blank,3.96,3.0,0,0.0,22
dur,3.96,3.0,32,267.0,14
dur,3.96,3.0,64,533.0,11
isi,3.96,3.0,2,17.0,68
isi,3.96,3.0,32,267.0,66
dur,3.96,3.0,4,33.0,6
dur,3.96,3.0,2,17.0,33
dur,3.96,3.0,2,17.0,69
