type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,5.28,4.0,2,17.0,0
isi,3.96,3.0,16,134.0,1
dur,6.6000000000000005,5.0,4,33.0,2
isi,3.96,3.0,4,33.0,3
isi,3.96,3.0,2,17.0,4
isi,11.88,9.0,16,134.0,5
dur,5.28,4.0,32,267.0,6
isi,5.28,4.0,32,267.0,7
dur,13.200000000000001,10.0,4,33.0,8
isi,3.96,3.0,8,67.0,9
dur,7.92,6.0,64,533.0,10
isi,5.28,4.0,2,17.0,11
isi,9.24,7.0,32,267.0,12
dur,7.92,6.0,0,0.0,13
dur,3.96,3.0,32,267.0,14
isi,7.92,6.0,8,67.0,15
isi,7.92,6.0,16,134.0,16
dur,9.24,7.0,16,134.0,17
dur,6.6000000000000005,5.0,16,134.0,18
dur,6.6000000000000005,5.0,0,0.0,19
dur,3.96,3.0,2,17.0,20
dur,10.56,8.0,2,17.0,21
dur,5.28,4.0,8,67.0,22
dur,3.96,3.0,32,267.0,23
dur,3.96,3.0,64,533.0,24
isi,3.96,3.0,64,533.0,25
isi,3.96,3.0,2,17.0,26
dur,3.96,3.0,4,33.0,27
dur,5.28,4.0,0,0.0,28
isi,5.28,4.0,64,533.0,29
isi,6.6000000000000005,5.0,4,33.0,30
isi,10.56,8.0,4,33.0,31
dur,5.28,4.0,16,134.0,32
dur,6.6000000000000005,5.0,8,67.0,33
dur,9.24,7.0,8,67.0,34
isi,3.96,3.0,32,267.0,35
isi,3.96,3.0,8,67.0,36
dur,5.28,4.0,64,533.0,37
isi,6.6000000000000005,5.0,64,533.0,38
